Kanji,Reading,English
あいかわらず,あいかわらず,as usual
アイデア,アイデア,idea
アイデア,アイ,idea
アイ,アイデア,I
アイ,アイ,I
ディア,ディア,dear
あいまい,あいまい,vague
遭う,あう,"to suffer, to encounter, to be exposed to"
扇ぐ,あおぐ,to wave
青白い,あおじろい,pale
あかんぼう,あかんぼう,baby
明き,あき,bright
あきれる,あきれる,astonish
アクセント,アクセント,accent
あくび,あくび,sniff
飽くまで,あくまで,until
明け方,あけがた,early morning
揚げる,あげる,to fry
挙げる,あげる,"to mention, to cite, to list"
憧れる,あこがれる,to admire; to yearn for; to look up to
足跡,あしあと,footprints
味わう,あじわう,to savor
預かる,あずかる,to entrust; to take care of; to hold in trust
暖まる,あたたまる,to get warmer
暖める,あたためる,to warm up
あたりまえ,あたりまえ,common sense
あひら,あひら,bluefin tuna
あちらこちら,あちらこちら,here and there
厚かましい,あつかましい,"arrogant, overbearing, presumptuous"
圧縮,あっしゅく,compression
宛名,あてな,Recipient's name
あてはまる,あてはまる,"to apply, to fit, to relate"
あてはめる,あてはめる,"to incorporate, to attach, to fit"
暴れる,あばれる,"to thrash around, to flail, to struggle"
脂,あぶら,fat
あぶる,あぶる,to burn
あふれる,あふれる,overflowing
雨戸,あまど,rain screen
甘やかす,あまやかす,to pamper
余る,あまる,"to remain, to be left over, to be surplus"
編物,あみもの,knitting
編む,あむ,to knit
危うい,あやうい,dangerous
怪しい,あやしい,suspicious
荒い,あらい,coarse
粗い,あらい,coarse
あらすじ,あらすじ,Synopsis
争う,あらそう,to contend
改めて,あらためて,again
改める,あらためる,revise
著す,あらわす,to write
有難い,ありがたい,"valuable, precious, fortunate, lucky"
在る,ある,to exist
あれこれ,あれこれ,various things
あわただしい,あわただしい,hurried
あわてる,あわてる,to rush; to hurry; to be anxious
安易,あんい,"easy, simplistic, superficial"
案外,あんがい,Surprisingly
アンテナ,アンテナ,antenna
言い出す,いいだす,to start speaking
言い付ける,いいつける,to insist on
意義,いぎ,significance
生き生き,いきいき,vibrant
いきなり,いきなり,suddenly
育児,いくじ,child-rearing
幾分,いくぶん,somewhat
生け花,いけばな,living flower arrangement
以後,いご,From now on
以降,いこう,"Subsequently, thereafter, from now on"
イコール,イコール,equal to
勇ましい,いさましい,brave
衣食住,いしょくじゅう,"food, clothing, housing"
