Kanji,Reading,English
あっ,あっ,Ah
愛,あい,love
挨拶,あいさつ,Greetings
愛情,あいじょう,love
合図,あいず,Signal
アイスクリーム,アイスクリーム,ice cream
愛する,あいする,love
相手,あいて,the other person
あいにく,あいにく,Unfortunately
アイロン,アイロン,iron
アウト,アウト,out
明かり,あかり,light
空き,あき,vacant
明らか,あきらか,obvious
諦める,あきらめる,give up
飽きる,あきる,to get bored
握手,あくしゅ,handshake
悪魔,あくま,devil
明ける,あける,to dawn
あした,あした,tomorrow
預ける,あずける,to entrust
汗,あせ,sweat
与える,あたえる,to give
辺り,あたり,"surroundings, vicinity, area, perimeter"
当たる,あたる,"to hit, to succeed, to win"
あちこち,あちこち,everywhere
扱う,あつかう,to handle
集まり,あつまり,gathering
当てる,あてる,to apply
跡,あと,"remains, trace, vestige, aftermath"
あと,あと,after
穴,あな,hole
浴びる,あびる,to bathe in
油,あぶら,oil
余り,あまり,excess
誤り,あやまり,error
粗,あら,coarse
嵐,あらし,storm
新た,あらた,new
あらゆる,あらゆる,all kinds of
表す,あらわす,to express
現す,あらわす,"to show, to manifest, to display"
現れ,あらわれ,appearance
現れる,あらわれる,appear
ありがとう,ありがとう,Thank you
有る,ある,to exist
或,ある,or
あるいは,あるいは,or
アルバム,アルバム,album
泡,あわ,bubble
合わせる,あわせる,"to match, to coordinate, to combine"
哀れ,あわれ,pitiful
案,あん,proposal
暗記,あんき,memorization
安定,あんてい,stability
案内,あんない,guidance
あんなに,あんなに,so much
あんまり,あんまり,not very
胃,い,stomach
いい,いい,good
よい,よい,good
いえ,いえ,no
委員,いいん,committee
言う,ゆう,to say
意外,いがい,Unexpected
行き,いき,going
行き,ゆき,going
息,いき,breath
勢い,いきおい,momentum
生き物,いきもの,living things
幾つ,いくつ,How old
幾ら,いくら,how much
いけない,いけない,wrong
医師,いし,doctor
意思,いし,"will, intention, volition, purpose, meaning"
意志,いし,will
維持,いじ,maintain
意識,いしき,consciousness
異常,いじょう,abnormality
椅子,いす,chair
泉,いずみ,spring
いずれ,いずれ,either
以前,いぜん,Previously
板,いた,board
偉大,いだい,"great, magnificent, grand, eminent, sublime, venerable"
抱く,いだく,to embrace; to hug; to hold
いたずら,いたずら,prank
いただきます,いただきます,Thank you
頂く,いただく,"to receive, to accept, to obtain, to grasp"
痛み,いたみ,pain
至る,いたる,"everywhere, in various places"
いち,いち,one
位置,いち,position
一時,いちじ,temporary
一度に,いちどに,at once
市場,いちば,market
一番,いちばん,most
いつか,いつか,sometime
一家,いっか,family
一種,いっしゅ,a type of
一瞬,いっしゅん,a moment
一生,いっしょう,lifetime
一層,いっそう,furthermore
一体,いったい,as one
一致,いっち,consistent
いつでも,いつでも,at any time
一般,いっぱん,general
一方,いっぽう,On the other hand
いつまでも,いつまでも,forever
いつも,いつも,always
移動,いどう,movement
従兄弟,いとこ,cousin
稲,いね,rice
居眠り,いねむり,falling asleep
命,いのち,life
違反,いはん,violation
衣服,いふく,clothing
居間,いま,living room
今に,いまに,now
今にも,いまにも,immediately
否,いや,no
以来,いらい,since
依頼,いらい,request
いらいら,いらいら,frustration
いらっしゃい,いらっしゃい,Please come in
医療,いりょう,medical
岩,いわ,rock
祝い,いわい,celebration
祝う,いわう,to celebrate
言わば,いわば,"In a way, in other words"
いわゆる,いわゆる,so-called
インク,インク,ink
印刷,いんさつ,printing
印象,いんしょう,impression
引退,いんたい,retirement
引用,いんよう,quote
ウイスキー,ウイスキー,whiskey
上,うわ,up
魚,うお,fish
うがい,うがい,mouthwash
伺う,うかがう,"to inquire, to visit"
受け取る,うけとる,to receive
動かす,うごかす,"to move, to operate, to activate"
兎,うさぎ,Rabbit
牛,うし,cow
失う,うしなう,to lose
後,うしろ,after
嘘,うそ,lie
疑う,うたがう,doubt
内,うち,inside
宇宙,うちゅう,space
撃つ,うつ,to shoot
移す,うつす,to move
訴える,うったえる,to plead
うなる,うなる,to cry
奪う,うばう,"to take away, to steal, to deprive"
馬,うま,horse
うまい,うまい,"good, delicious, excellent"
生まれ,うまれ,born
梅,うめ,plum
裏切る,うらぎる,to betray
うるさい,うるさい,Noisy
嬉しい,うれしい,happy
売れる,うれる,sellable
噂,うわさ,rumor
うん,（感）,Yeah
運,うん,luck
運転,うんてん,driving
運動,うんどう,exercise
柄,え,handle
永遠,えいえん,eternity
永久,えいきゅう,permanent
影響,えいきょう,influence
営業,えいぎょう,sales
衛星,えいせい,satellite
栄養,えいよう,nutrition
笑顔,えがお,smile
描く,えがく,to draw
餌,えさ,bait
エネルギー,エネルギー,energy
得る,える,"to gain, to obtain, to profit"
得る,うる,"to gain, to obtain, to profit"
円,えん,yen
延期,えんき,postponed
演技,えんぎ,acting
援助,えんじょ,assistance
エンジン,エンジン,engine
演説,えんぜつ,speech
演奏,えんそう,performance
遠慮,えんりょ,"reserve, restraint, modesty, deference"
御,お,"lord, master, sir, esteemed"
老い,おい,old age
追い付く,おいつく,to catch up
王,おう,King
追う,おう,chasing
王様,おうさま,King
王子,おうじ,prince
応じる,おうじる,respond
横断,おうだん,crosswise
終える,おえる,to end
大いに,おおいに,greatly
覆う,おおう,to cover
オーバー,オーバー,over
大家,おおや,everyone
丘,おか,hill
沖,おき,offshore
奥,おく,deep; inner; interior; innermost
贈る,おくる,to give
起こる,おこる,occurs
幼い,おさない,young
収める,おさめる,"to take in, to accommodate, to contain, to absorb"
おじいさん,おじいさん,grandfather
おしゃべり,おしゃべり,chatter
汚染,おせん,pollution
おそらく,おそらく,Probably
恐れる,おそれる,to be afraid of
恐ろしい,おそろしい,frightening
お互い,おたがい,each other
穏やか,おだやか,"calm, peaceful, tranquil"
男の人,おとこのひと,Man
劣る,おとる,inferior
お腹,おなか,stomach
鬼,おに,demon
帯,おび,"sash, belt"
お昼,おひる,lunch
オフィス,オフィス,office
溺れる,おぼれる,drowning
おまえ,おまえ,you
おめでとう,おめでとう,Congratulations
お目に掛,おめにかかる,to meet
思い出,おもいで,memories
主に,おもに,mainly
思わず,おもわず,unintentionally
おや,おや,Oh
泳ぎ,およぎ,swimming
およそ,およそ,approximately
及ぼす,およぼす,to affect
居る,おる,to exist
下す,おろす,to lower
降ろす,おろす,to drop off
終,おわり,end
音,おん,sound
恩,おん,"favor, grace, kindness, gratitude"
温暖,おんだん,warm
温度,おんど,Temperature
可,か,possible
課,か,"class, course, term"
カー,カー,car
カード,カード,card
会,かい,meeting
回,かい,cycle
害,がい,harm
会員,かいいん,member
絵画,かいが,painting
海外,かいがい,Overseas
会計,かいけい,accounting
解決,かいけつ,resolution
会合,かいごう,meeting
外交,がいこう,diplomacy
開始,かいし,start
解釈,かいしゃく,interpretation
外出,がいしゅつ,going out
改善,かいぜん,improvement
快適,かいてき,comfortable
回復,かいふく,recovery
飼う,かう,to keep
替える,かえる,replace
換える,かえる,to replace
香り,かおり,fragrance
画家,がか,painter
抱える,かかえる,"to hold, to carry, to bear, to embrace"
価格,かかく,Price
化学,かがく,chemistry
輝く,かがやく,shining
係,かかり,staff
掛かる,かかる,to cost
罹る,かかる,to contract (an illness)
鍵,かぎ,key
限る,かぎる,limited
描く,かく,to draw
