Kanji,Reading,Indonesian
嗚呼,ああ,"Ah, sial"
相,あい,Hubungan
相変わらず,あいかわらず,Seperti biasa
愛想,あいそ,Kesopanan
相対,あいたい,Relatif
間柄,あいだがら,Hubungan
愛憎,あいにく,Cinta dan benci
合間,あいま,Di antara waktu
曖昧,あいまい,Tidak jelas
敢えて,あえて,Dengan sengaja
仰ぐ,あおぐ,Menatap
垢,あか,Akun
亜科,あか,Subfamili
銅,あかがね,Tembaga
証,あかし,Bukti
赤字,あかじ,Merugi
明かす,あかす,Menjelaskan
赤ちゃん,あかちゃん,Bayi
明白,あからさま,Jelas
赤らむ,あからむ,Merah
明るい,あかるい,Cerah
上がり,あがり,Naik
上がる,あがる,Meningkat
商人,あきうど,Pedagang
空間,あきま,Ruang
諦め,あきらめ,Menyerah
呆れる,あきれる,Terkejut
悪,あく,Buruk
灰,あく,Abu
あくどい,あくどい,Menjijikkan
悪日,あくび,Hari buruk
明くる,あくる,Besok
憧れ,あこがれ,Impian
顎,あご,Rahus
麻,あさ,Kain
明後日,あさって,Besok
朝寝坊,あさねぼう,Bangun tidur di pagi hari
浅ましい,あさましい,Menakutkan
字,あざ,Huruf
欺く,あざむく,Menipu
鮮やか,あざやか,Cerah
あざ笑う,あざわらう,Menertawakan
味わい,あじわい,Rasa
東,あずま,Timur
焦る,あせる,Terburu-buru
彼処,あそこ,Di sana
値,あたい,Nilai
値する,あたいする,Berharga
私,あたし,Saya
当たり,あたり,Peluang
当たり前,あたりまえ,Hal yang biasa
他人,あだびと,Orang lain
彼方此方,あちこち,Dari sini ke sana
彼方,あちら,Sebaliknya
彼方此方,あちらこちら,Dari sini ke sana
悪化,あっか,Memburuk
呆気ない,あっけない,Tidak masuk akal
悪口,あっこう,Gosip
あっさり,あっさり,Ringan
圧迫,あっぱく,Tekanan
扱い,あつかい,Cara penggunaan
集まる,あつまる,Berkumpul
誂える,あつらえる,Memesan
圧力,あつりょく,Tekanan
当て,あて,Menang
宛,あて,Kepada
当て字,あてじ,Menulis dengan huruf yang sudah ditentukan
当てはまる,あてはまる,Cocok
当てはめる,あてはめる,Menerapkan
宛てる,あてる,Ditujukan untuk
跡継ぎ,あとつぎ,Warisan
後回し,あとまわし,Menunda
貴女,あなた,Anda
彼の,あの,Dia
溢れる,あふれる,Melimpah
油絵,あぶらえ,Lukisan cat minyak
炙る,あぶる,Memanggang
あべこべ,あべこべ,Pertemuan awal
甘える,あまえる,Memohon perhatian
甘口,あまくち,Manis
雨具,あまぐ,Pakaian hujan
天,あまつ,Langit
網,あみ,Jaring
天地,あめつち,Alam semesta
操る,あやつる,Mengendalikan
あやふや,あやふや,Tidak jelas
危ぶむ,あやぶむ,Berisiko
過ち,あやまち,Kesalahan
誤る,あやまる,Salah
歩み,あゆみ,Langkah
歩む,あゆむ,Berjalan
あら,あら,Ayo
予め,あらかじめ,Sebelumnya
荒らす,あらす,Merusak
粗筋,あらすじ,Garis besar
争い,あらそい,Pertarungan
改まる,あらたまる,Perubahan
荒っぽい,あらっぽい,Tidak sopan
凡ゆる,あらゆる,Semua
あられ,あられ,Kerupuk
現われ,あらわれ,Muncul
現われる,あらわれる,Muncul
有難う,ありがとう,Terima kasih
有様,ありさま,Seperti yang biasa
有りのまま,ありのまま,Seperti apa adanya
或る,ある,Ada
或いは,あるいは,Atau
彼此,あれこれ,Saling
合わす,あわす,Menyesuaikan
合わせ,あわせ,Sesuai
慌ただしい,あわただしい,Cepat-cepat
慌てる,あわてる,Panik
暗殺,あんさつ,Pembunuhan
暗算,あんざん,Perhitungan mental
暗示,あんじ,Petunjuk
案じる,あんじる,Merencanakan
安静,あんせい,Tenang
案の定,あんのじょう,Seperti yang diharapkan
余り,あんまり,Sisa
依,い,Bergantung
良い,いい,Baik
伊井,いい,Iye
否,いいえ,Tidak
いい加減,いいかげん,Secara sedang-sedang saja
言い訳,いいわけ,Alasan
家出,いえで,Pindah rumah
家主,いえぬし,Pemilik rumah
如何,いかが,Bagaimana
生かす,いかす,Memanfaatkan
雷,いかずち,Petir
如何に,いかに,Bagaimana
如何にも,いかにも,Seperti yang diharapkan
怒り,いかり,Kemarahan
